Rank,School,Type,Grades,Address,City,Zip,County,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Year
9,Mission San Jose High,"Public, Magnet",12-Sep,41717 Palm Ave.,Fremont,94539,Alameda,Fremont Unified,No,Yes,No,No,2018
28,Piedmont High,Public,12-Sep,800 Magnolia Ave.,Piedmont,94611,Alameda,Piedmont City Unified,No,No,No,No,2018
47,American High,Public,12-Sep,36300 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2018
56,Foothill High,Public,12-Sep,4375 Foothill Rd.,Pleasanton,94588,Alameda,Pleasanton Unified,No,No,No,No,2018
57,Irvington High,"Public, Magnet",12-Sep,41800 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,Yes,No,No,2018
84,Amador Valley High,Public,12-Sep,1155 Santa Rita Rd.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,No,2018
87,Dublin High,Public,12-Sep,8151 Village Pkwy.,Dublin,94568,Alameda,Dublin Unified,No,No,No,Yes,2018
94,Oakland Charter High,"Public, Charter",12-Sep,2433 Coolidge Ave.,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2018
115,KIPP King Collegiate High,"Public, Charter",12-Sep,2005B Via Barrett,San Lorenzo,94580,Alameda,San Lorenzo Unified,Yes,No,No,Yes,2018
154,Albany High,Public,12-Sep,603 Key Route Blvd.,Albany,94706,Alameda,Albany City Unified,No,No,No,Yes,2018
170,Alameda High,Public,12-Sep,2201 Encinal Ave.,Alameda,94501,Alameda,Alameda Unified,No,No,No,No,2018
205,Castro Valley High,Public,12-Sep,19400 Santa Maria Ave.,Castro Valley,94546,Alameda,Castro Valley Unified,No,No,No,No,2018
223,Washington High,Public,12-Sep,38442 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2018
269,Berkeley High,Public,12-Sep,1980 Allston Way,Berkeley,94704,Alameda,Berkeley Unified,No,No,No,No,2018
289,Granada High,Public,12-Sep,400 Wall St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2018
330,James Logan High,Public,12-Sep,1800 H St.,Union City,94587,Alameda,New Haven Unified,No,No,No,Yes,2018
346,Livermore High,Public,12-Sep,600 Maple St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2018
390,John F. Kennedy High,Public,12-Sep,39999 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,No,No,Yes,2018
478,Arroyo High,Public,12-Sep,15701 Lorenzo Ave.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2018
498,Oakland Unity High,"Public, Charter",12-Sep,6038 Brann St.,Oakland,94605,Alameda,Oakland Unified,Yes,No,No,Yes,2018
530,American Indian Public High,"Public, Charter",12-Sep,746 Grand Ave.,Oakland,94607,Alameda,Oakland Unified,Yes,No,No,Yes,2018
537,Lighthouse Community Charter High,"Public, Charter",12-Sep,444 Hegenberger Rd.,Oakland,94621,Alameda,Oakland Unified,Yes,No,No,Yes,2018
604,Mt. Eden High,Public,12-Sep,2300 Panama St.,Hayward,94545,Alameda,Hayward Unified,No,No,No,Yes,2018
647,Conservatory of Vocal/Instrumental Arts High,"Public, Charter",12-Sep,12500 Campus Dr. Bldg. D,Oakland,94619,Alameda,Oakland Unified,Yes,No,No,Yes,2018
699,Oakland Technical High,Public,12-Sep,4351 BRd.way,Oakland,94611,Alameda,Oakland Unified,No,No,No,Yes,2018
815,ARISE High,"Public, Charter",12-Sep,3301 E. 12th St. Ste. 205,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2018
884,Silver Oak High Public Montessori Charter,"Public, Charter",12-Sep,951 Palisade St.,Hayward,94542,Alameda,Hayward Unified,Yes,No,No,(n/a),2018
906,Hayward High,Public,12-Sep,1633 E. Ave.,Hayward,94541,Alameda,Hayward Unified,No,No,No,Yes,2018
919,Newark Memorial High,Public,12-Sep,39375 Cedar Blvd.,Newark,94560,Alameda,Newark Unified,No,No,No,No,2018
920,Skyline High,Public,12-Sep,12250 Skyline Blvd.,Oakland,94619,Alameda,Oakland Unified,No,No,No,Yes,2018
992,San Leandro High,Public,12-Sep,2200 Bancroft Ave.,San Leandro,94577,Alameda,San Leandro Unified,No,No,No,No,2018
1142,East Bay Arts High,Public,12-Sep,20450 Royal Ave.,Hayward,94541,Alameda,San Lorenzo Unified,No,No,No,No,2018
1203,San Lorenzo High,Public,12-Sep,50 E. Lewelling Blvd.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2018
1239,REALM Charter High,"Public, Charter",12-Sep,2023 Eighth St.,Berkeley,94710,Alameda,Berkeley Unified,Yes,No,No,Yes,2018
1244,Oakland High,Public,12-Sep,1023 MacArthur Blvd.,Oakland,94610,Alameda,Oakland Unified,No,No,No,Yes,2018
1292,MetWest High,Public,12-Sep,314 E. Tenth St.,Oakland,94606,Alameda,Oakland Unified,No,No,No,Yes,2018
1403,Tennyson High,Public,12-Sep,27035 Whitman Rd.,Hayward,94544,Alameda,Hayward Unified,No,No,No,Yes,2018
1406,Village High,Public,12-Sep,4645 Bernal Ave.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,Yes,2018
1534,McClymonds High,Public,12-Sep,2607 Myrtle St.,Oakland,94607,Alameda,Oakland Unified,No,No,No,Yes,2018
1782,Oakland International High,Public,12-Sep,4521 Webster St.,Oakland,94609,Alameda,Oakland Unified,No,No,No,Yes,2018
1787,Fremont High,Public,12-Sep,4610 Foothill Blvd.,Oakland,94601,Alameda,Oakland Unified,No,No,No,Yes,2018
1807,Core Learning Academy at Conley-Caraballo High,Public,12-Sep,541 Blanche St.,Hayward,94544,Alameda,New Haven Unified,No,No,No,Yes,2018
1839,Brenkwitz High,Public,12-Sep,22100 Princeton St.,Hayward,94541,Alameda,Hayward Unified,No,No,No,Yes,2018
1921,Castlemont High,Public,12-Sep,8601 MacArthur Blvd.,Oakland,94605,Alameda,Oakland Unified,No,No,No,Yes,2018
16,Mission San Jose High,"Public, Magnet",12-Sep,41717 Palm Ave.,Fremont,94539,Alameda,Fremont Unified,No,Yes,No,No,2017
29,Piedmont High,Public,12-Sep,800 Magnolia Ave.,Piedmont,94611,Alameda,Piedmont City Unified,No,No,No,No,2017
43,Amador Valley High,Public,12-Sep,1155 Santa Rita Rd.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,No,2017
52,Foothill High,Public,12-Sep,4375 Foothill Rd.,Pleasanton,94588,Alameda,Pleasanton Unified,No,No,No,No,2017
66,Irvington High,"Public, Magnet",12-Sep,41800 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,Yes,No,No,2017
89,Albany High,Public,12-Sep,603 Key Route Blvd.,Albany,94706,Alameda,Albany City Unified,No,No,No,Yes,2017
96,American High,Public,12-Sep,36300 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2017
141,Oakland Charter High,"Public, Charter",12-Sep,2433 Coolidge Ave.,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2017
173,Lighthouse Community Charter High,"Public, Charter",12-Sep,444 Hegenberger Rd.,Oakland,94621,Alameda,Oakland Unified,Yes,No,No,Yes,2017
193,Alameda High,Public,12-Sep,2201 Encinal Ave.,Alameda,94501,Alameda,Alameda Unified,No,No,No,No,2017
196,Washington High,Public,12-Sep,38442 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2017
199,KIPP King Collegiate High,"Public, Charter",12-Sep,2005B Via Barrett,San Lorenzo,94580,Alameda,San Lorenzo Unified,Yes,No,No,Yes,2017
224,Dublin High,Public,12-Sep,8151 Village Pkwy.,Dublin,94568,Alameda,Dublin Unified,No,No,No,Yes,2017
248,Granada High,Public,12-Sep,400 Wall St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2017
265,Castro Valley High,Public,12-Sep,19400 Santa Maria Ave.,Castro Valley,94546,Alameda,Castro Valley Unified,No,No,No,No,2017
305,Conservatory of Vocal/Instrumental Arts High,"Public, Charter",12-Sep,12500 Campus Dr. Bldg. D,Oakland,94619,Alameda,Oakland Unified,Yes,No,No,Yes,2017
323,American Indian Public High,"Public, Charter",12-Sep,746 Grand Ave.,Oakland,94607,Alameda,Oakland Unified,Yes,No,No,Yes,2017
374,Livermore High,Public,12-Sep,600 Maple St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2017
403,James Logan High,Public,12-Sep,1800 H St.,Union City,94587,Alameda,New Haven Unified,No,No,No,Yes,2017
410,Arroyo High,Public,12-Sep,15701 Lorenzo Ave.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2017
464,John F. Kennedy High,Public,12-Sep,39999 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,No,No,Yes,2017
559,Berkeley High,Public,12-Sep,1980 Allston Way,Berkeley,94704,Alameda,Berkeley Unified,No,No,No,No,2017
677,ARISE High,"Public, Charter",12-Sep,3301 E. 12th St. Ste. 205,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2017
682,Oakland Unity High,"Public, Charter",12-Sep,6038 Brann St.,Oakland,94605,Alameda,Oakland Unified,Yes,No,No,Yes,2017
741,Oakland Technical High,Public,12-Sep,4351 BRd.way,Oakland,94611,Alameda,Oakland Unified,No,No,No,Yes,2017
755,Newark Memorial High,Public,12-Sep,39375 Cedar Blvd.,Newark,94560,Alameda,Newark Unified,No,No,No,No,2017
777,Silver Oak High Public Montessori Charter,"Public, Charter",12-Sep,951 Palisade St.,Hayward,94542,Alameda,Hayward Unified,Yes,No,No,(n/a),2017
848,Mt. Eden High,Public,12-Sep,2300 Panama St.,Hayward,94545,Alameda,Hayward Unified,No,No,No,Yes,2017
941,San Leandro High,Public,12-Sep,2200 Bancroft Ave.,San Leandro,94577,Alameda,San Leandro Unified,No,No,No,No,2017
1025,Hayward High,Public,12-Sep,1633 E. Ave.,Hayward,94541,Alameda,Hayward Unified,No,No,No,Yes,2017
1218,Skyline High,Public,12-Sep,12250 Skyline Blvd.,Oakland,94619,Alameda,Oakland Unified,No,No,No,Yes,2017
1235,Oakland High,Public,12-Sep,1023 MacArthur Blvd.,Oakland,94610,Alameda,Oakland Unified,No,No,No,Yes,2017
1321,Tennyson High,Public,12-Sep,27035 Whitman Rd.,Hayward,94544,Alameda,Hayward Unified,No,No,No,Yes,2017
1335,East Bay Arts High,Public,12-Sep,20450 Royal Ave.,Hayward,94541,Alameda,San Lorenzo Unified,No,No,No,No,2017
1341,MetWest High,Public,12-Sep,314 E. Tenth St.,Oakland,94606,Alameda,Oakland Unified,No,No,No,Yes,2017
1410,REALM Charter High,"Public, Charter",12-Sep,2023 Eighth St.,Berkeley,94710,Alameda,Berkeley Unified,Yes,No,No,Yes,2017
1421,San Lorenzo High,Public,12-Sep,50 E. Lewelling Blvd.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2017
1466,Village High,Public,12-Sep,4645 Bernal Ave.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,Yes,2017
1516,McClymonds High,Public,12-Sep,2607 Myrtle St.,Oakland,94607,Alameda,Oakland Unified,No,No,No,Yes,2017
1649,Fremont High,Public,12-Sep,4610 Foothill Blvd.,Oakland,94601,Alameda,Oakland Unified,No,No,No,Yes,2017
1790,Ralph J. Bunche High,Public,12-Sep,1240 18th St.,Oakland,94607,Alameda,Oakland Unified,No,No,No,Yes,2017
1800,Oakland International High,Public,12-Sep,4521 Webster St.,Oakland,94609,Alameda,Oakland Unified,No,No,No,Yes,2017
1872,Brenkwitz High,Public,12-Sep,22100 Princeton St.,Hayward,94541,Alameda,Hayward Unified,No,No,No,Yes,2017
1878,Core Learning Academy at Conley-Caraballo High,Public,12-Sep,541 Blanche St.,Hayward,94544,Alameda,New Haven Unified,No,No,No,Yes,2017
1907,Castlemont High,Public,12-Sep,8601 MacArthur Blvd.,Oakland,94605,Alameda,Oakland Unified,No,No,No,Yes,2017
7,Piedmont High,Public,12-Sep,800 Magnolia Ave.,Piedmont,94611,Alameda,Piedmont City Unified,No,No,No,No,2016
11,Mission San Jose High,"Public, Magnet",12-Sep,41717 Palm Ave.,Fremont,94539,Alameda,Fremont Unified,No,Yes,No,No,2016
28,Amador Valley High,Public,12-Sep,1155 Santa Rita Rd.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,No,2016
41,Oakland Charter High,"Public, Charter",12-Sep,2433 Coolidge Ave.,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2016
48,Foothill High,Public,12-Sep,4375 Foothill Rd.,Pleasanton,94588,Alameda,Pleasanton Unified,No,No,No,No,2016
56,Albany High,Public,12-Sep,603 Key Route Blvd.,Albany,94706,Alameda,Albany City Unified,No,No,No,Yes,2016
80,Irvington High,"Public, Magnet",12-Sep,41800 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,Yes,No,No,2016
122,Dublin High,Public,12-Sep,8151 Village Pkwy.,Dublin,94568,Alameda,Dublin Unified,No,No,No,Yes,2016
126,American Indian Public High,"Public, Charter",12-Sep,746 Grand Ave.,Oakland,94607,Alameda,Oakland Unified,Yes,No,No,Yes,2016
156,Granada High,Public,12-Sep,400 Wall St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2016
173,Alameda High,Public,12-Sep,2201 Encinal Ave.,Alameda,94501,Alameda,Alameda Unified,No,No,No,No,2016
182,American High,Public,12-Sep,36300 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2016
230,Washington High,Public,12-Sep,38442 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2016
276,Castro Valley High,Public,12-Sep,19400 Santa Maria Ave.,Castro Valley,94546,Alameda,Castro Valley Unified,No,No,No,No,2016
287,Berkeley High,Public,12-Sep,1980 Allston Way,Berkeley,94704,Alameda,Berkeley Unified,No,No,No,No,2016
308,KIPP King Collegiate High,"Public, Charter",12-Sep,2005B Via Barrett,San Lorenzo,94580,Alameda,San Lorenzo Unified,Yes,No,No,Yes,2016
315,Lighthouse Community Charter High,"Public, Charter",12-Sep,444 Hegenberger Rd.,Oakland,94621,Alameda,Oakland Unified,Yes,No,No,Yes,2016
345,Arroyo High,Public,12-Sep,15701 Lorenzo Ave.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2016
372,Livermore High,Public,12-Sep,600 Maple St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2016
452,James Logan High,Public,12-Sep,1800 H St.,Union City,94587,Alameda,New Haven Unified,No,No,No,Yes,2016
507,Oakland Technical High,Public,12-Sep,4351 BRd.way,Oakland,94611,Alameda,Oakland Unified,No,No,No,Yes,2016
513,John F. Kennedy High,Public,12-Sep,39999 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,No,No,Yes,2016
635,Newark Memorial High,Public,12-Sep,39375 Cedar Blvd.,Newark,94560,Alameda,Newark Unified,No,No,No,No,2016
707,Oakland Unity High,"Public, Charter",12-Sep,6038 Brann St.,Oakland,94605,Alameda,Oakland Unified,Yes,No,No,Yes,2016
905,San Leandro High,Public,12-Sep,2200 Bancroft Ave.,San Leandro,94577,Alameda,San Leandro Unified,No,No,No,No,2016
906,Mt. Eden High,Public,12-Sep,2300 Panama St.,Hayward,94545,Alameda,Hayward Unified,No,No,No,Yes,2016
1000,Village High,Public,12-Sep,4645 Bernal Ave.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,Yes,2016
1031,Hayward High,Public,12-Sep,1633 E. Ave.,Hayward,94541,Alameda,Hayward Unified,No,No,No,Yes,2016
1075,East Bay Arts High,Public,12-Sep,20450 Royal Ave.,Hayward,94541,Alameda,San Lorenzo Unified,No,No,No,No,2016
1185,San Lorenzo High,Public,12-Sep,50 E. Lewelling Blvd.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2016
1211,ARISE High,"Public, Charter",12-Sep,3301 E. 12th St. Ste. 205,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2016
1233,Skyline High,Public,12-Sep,12250 Skyline Blvd.,Oakland,94619,Alameda,Oakland Unified,No,No,No,Yes,2016
1245,Oakland High,Public,12-Sep,1023 MacArthur Blvd.,Oakland,94610,Alameda,Oakland Unified,No,No,No,Yes,2016
1312,Silver Oak High Public Montessori Charter,"Public, Charter",12-Sep,951 Palisade St.,Hayward,94542,Alameda,Hayward Unified,Yes,No,No,(n/a),2016
1338,REALM Charter High,"Public, Charter",12-Sep,2023 Eighth St.,Berkeley,94710,Alameda,Berkeley Unified,Yes,No,No,Yes,2016
1368,Tennyson High,Public,12-Sep,27035 Whitman Rd.,Hayward,94544,Alameda,Hayward Unified,No,No,No,Yes,2016
1505,MetWest High,Public,12-Sep,314 E. Tenth St.,Oakland,94606,Alameda,Oakland Unified,No,No,No,Yes,2016
1544,McClymonds High,Public,12-Sep,2607 Myrtle St.,Oakland,94607,Alameda,Oakland Unified,No,No,No,Yes,2016
1685,Fremont High,Public,12-Sep,4610 Foothill Blvd.,Oakland,94601,Alameda,Oakland Unified,No,No,No,Yes,2016
1759,Core Learning Academy at Conley-Caraballo High,Public,12-Sep,541 Blanche St.,Hayward,94544,Alameda,New Haven Unified,No,No,No,Yes,2016
1802,Ralph J. Bunche High,Public,12-Sep,1240 18th St.,Oakland,94607,Alameda,Oakland Unified,No,No,No,Yes,2016
1888,Brenkwitz High,Public,12-Sep,22100 Princeton St.,Hayward,94541,Alameda,Hayward Unified,No,No,No,Yes,2016
1908,Oakland International High,Public,12-Sep,4521 Webster St.,Oakland,94609,Alameda,Oakland Unified,No,No,No,Yes,2016
1968,Castlemont High,Public,12-Sep,8601 MacArthur Blvd.,Oakland,94605,Alameda,Oakland Unified,No,No,No,Yes,2016
16,Piedmont High,Public,12-Sep,800 Magnolia Ave.,Piedmont,94611,Alameda,Piedmont City Unified,No,No,No,No,2015
18,Mission San Jose High,"Public, Magnet",12-Sep,41717 Palm Ave.,Fremont,94539,Alameda,Fremont Unified,No,Yes,No,No,2015
24,Oakland Charter High,"Public, Charter",12-Sep,2433 Coolidge Ave.,Oakland,94601,Alameda,Oakland Unified,Yes,No,No,Yes,2015
33,Amador Valley High,Public,12-Sep,1155 Santa Rita Rd.,Pleasanton,94566,Alameda,Pleasanton Unified,No,No,No,No,2015
70,Dublin High,Public,12-Sep,8151 Village Pkwy.,Dublin,94568,Alameda,Dublin Unified,No,No,No,Yes,2015
75,American Indian Public High,"Public, Charter",12-Sep,746 Grand Ave.,Oakland,94607,Alameda,Oakland Unified,Yes,No,No,Yes,2015
81,Foothill High,Public,12-Sep,4375 Foothill Rd.,Pleasanton,94588,Alameda,Pleasanton Unified,No,No,No,No,2015
112,Irvington High,"Public, Magnet",12-Sep,41800 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,Yes,No,No,2015
148,American High,Public,12-Sep,36300 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2015
156,Albany High,Public,12-Sep,603 Key Route Blvd.,Albany,94706,Alameda,Albany City Unified,No,No,No,Yes,2015
161,Granada High,Public,12-Sep,400 Wall St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2015
180,Alameda High,Public,12-Sep,2201 Encinal Ave.,Alameda,94501,Alameda,Alameda Unified,No,No,No,No,2015
232,Lighthouse Community Charter High,"Public, Charter",12-Sep,444 Hegenberger Rd.,Oakland,94621,Alameda,Oakland Unified,Yes,No,No,Yes,2015
238,Castro Valley High,Public,12-Sep,19400 Santa Maria Ave.,Castro Valley,94546,Alameda,Castro Valley Unified,No,No,No,No,2015
263,Livermore High,Public,12-Sep,600 Maple St.,Livermore,94550,Alameda,Livermore Valley Joint Unified,No,No,No,No,2015
320,Livermore Valley Charter Preparatory High,"Public, Charter",12-Sep,2451 Portola Ave.,Livermore,94551,Alameda,SBE - Livermore Valley Charter Preparatory High,Yes,No,No,(n/a),2015
374,Washington High,Public,12-Sep,38442 Fremont Blvd.,Fremont,94536,Alameda,Fremont Unified,No,No,No,No,2015
375,Berkeley High,Public,12-Sep,1980 Allston Way,Berkeley,94704,Alameda,Berkeley Unified,No,No,No,No,2015
393,KIPP King Collegiate High,"Public, Charter",12-Sep,2005B Via Barrett,San Lorenzo,94580,Alameda,San Lorenzo Unified,Yes,No,No,Yes,2015
481,James Logan High,Public,12-Sep,1800 H St.,Union City,94587,Alameda,New Haven Unified,No,No,No,Yes,2015
536,John F. Kennedy High,Public,12-Sep,39999 Blacow Rd.,Fremont,94538,Alameda,Fremont Unified,No,No,No,Yes,2015
552,Oakland Unity High,"Public, Charter",12-Sep,6038 Brann St.,Oakland,94605,Alameda,Oakland Unified,Yes,No,No,Yes,2015
563,Arroyo High,Public,12-Sep,15701 Lorenzo Ave.,San Lorenzo,94580,Alameda,San Lorenzo Unified,No,No,No,No,2015
566,Oakland Technical High,Public,12-Sep,4351 BRd.way,Oakland,94611,Alameda,Oakland Unified,No,No,No,Yes,2015
667,Newark Memorial High,Public,12-Sep,39375 Cedar Blvd.,Newark,94560,Alameda,Newark Unified,No,No,No,No,2015
765,Silver Oak High Public Montessori Charter,"Public, Charter",12-Sep,951 Palisade St.,Hayward,94542,Alameda,Hayward Unified,Yes,No,No,(n/a),2015
814,Mt. Eden High,Public,12-Sep,2300 Panama St.,Hayward,94545,Alameda,Hayward Unified,No,No,No,Yes,2015
