,State,Region Type,Region,City,Property Type,Period Begin,Median Sale Price,Year
5230,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2015,718000.0,2015
6249,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2016,780000.0,2016
7800,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2012,525000.0,2012
9352,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2012,416000.0,2012
9448,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2012,511000.0,2012
9526,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2012,560000.0,2012
9581,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2012,535000.0,2012
9602,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2012,525000.0,2012
9625,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2013,530000.0,2013
9688,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2013,620000.0,2013
9833,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2013,648000.0,2013
10730,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2012,450000.0,2012
10751,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2012,450000.0,2012
13329,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2013,650000.0,2013
13666,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2014,695000.0,2014
13903,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2015,808000.0,2015
14480,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2012,548000.0,2012
14977,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2014,710000.0,2014
15459,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2016,864000.0,2016
16452,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2013,636000.0,2013
16475,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2014,626000.0,2014
16669,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2014,725000.0,2014
16816,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2015,827000.0,2015
16837,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2015,788000.0,2015
17677,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2012,475000.0,2012
17917,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2013,660000.0,2013
17967,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2013,655000.0,2013
17986,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2013,681000.0,2013
18030,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2013,640000.0,2013
18049,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2013,606000.0,2013
18930,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2012,550000.0,2012
19239,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2014,695000.0,2014
19807,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2014,755000.0,2014
19948,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2014,690000.0,2014
20185,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2015,745000.0,2015
20204,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2015,780000.0,2015
20247,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2016,807000.0,2016
20314,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2016,843000.0,2016
20372,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2016,801000.0,2016
20392,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2016,838000.0,2016
20415,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2016,835000.0,2016
20461,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2016,854000.0,2016
20593,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2017,918000.0,2017
20670,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2017,951000.0,2017
20721,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2017,906000.0,2017
20947,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2018,1165000.0,2018
20971,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2018,1095000.0,2018
21019,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2018,1080000.0,2018
21108,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2019,978000.0,2019
21133,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2019,956000.0,2019
21309,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2014,725000.0,2014
21381,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2014,700000.0,2014
21503,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2015,706000.0,2015
21707,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2015,775000.0,2015
21773,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2016,845000.0,2016
21994,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2017,875000.0,2017
22033,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2017,925000.0,2017
22096,California,Place/City,"Fremont, CA",Fremont,All Residential,6/1/2017,940000.0,2017
22215,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2017,995000.0,2017
22323,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2018,1190000.0,2018
22375,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2018,1080000.0,2018
23404,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2013,540000.0,2013
23459,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2013,607000.0,2013
23476,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2014,675000.0,2014
23500,California,Place/City,"Fremont, CA",Fremont,All Residential,7/1/2014,743000.0,2014
23531,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2014,721000.0,2014
23583,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2015,807000.0,2015
24216,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2018,1000000.0,2018
24261,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2018,1160000.0,2018
24619,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2015,800000.0,2015
27148,California,Place/City,"Fremont, CA",Fremont,All Residential,9/1/2016,865000.0,2016
27418,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2017,947000.0,2017
27949,California,Place/City,"Fremont, CA",Fremont,All Residential,4/1/2015,765000.0,2015
28407,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2016,870000.0,2016
28486,California,Place/City,"Fremont, CA",Fremont,All Residential,2/1/2017,870000.0,2017
28556,California,Place/City,"Fremont, CA",Fremont,All Residential,5/1/2017,911000.0,2017
29028,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2018,942000.0,2018
29226,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2015,786000.0,2015
29733,California,Place/City,"Fremont, CA",Fremont,All Residential,12/1/2016,816000.0,2016
29930,California,Place/City,"Fremont, CA",Fremont,All Residential,8/1/2017,930000.0,2017
29983,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2017,1015000.0,2017
30060,California,Place/City,"Fremont, CA",Fremont,All Residential,1/1/2018,1008000.0,2018
30105,California,Place/City,"Fremont, CA",Fremont,All Residential,3/1/2018,1121000.0,2018
30274,California,Place/City,"Fremont, CA",Fremont,All Residential,10/1/2018,1100000.0,2018
30303,California,Place/City,"Fremont, CA",Fremont,All Residential,11/1/2018,1024000.0,2018
